epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2799.62,1.18082,1.08013,1.28213,0.71514,0.8,0.86235,0.45177,1.5408,1.02154,1.43602,0.0011684,0.0011684,0.0011684
44,2856.07,1.12177,0.95496,1.25415,0.91937,0.86667,0.91059,0.54146,1.40611,0.93629,1.37628,0.0011486,0.0011486,0.0011486
45,2912.1,1.08364,0.9434,1.23545,0.78283,0.96215,0.91178,0.48514,1.46673,0.91153,1.42755,0.0011288,0.0011288,0.0011288
46,2968.44,1.13736,0.97869,1.26705,0.8328,0.99636,0.92833,0.51244,1.52591,0.86398,1.38265,0.001109,0.001109,0.001109
47,3024.63,1.07319,0.89149,1.19883,0.8029,0.8,0.76903,0.4112,1.57344,1.20337,1.44617,0.0010892,0.0010892,0.0010892
48,3081.08,1.06918,1.03338,1.21957,0.86583,0.86082,0.89428,0.51159,1.66959,0.94482,1.49552,0.0010694,0.0010694,0.0010694
49,3137.51,1.06208,0.94978,1.19807,0.87188,0.66667,0.85037,0.50567,1.55135,0.92837,1.40026,0.0010496,0.0010496,0.0010496
50,3194.18,1.07144,0.90957,1.18469,0.78701,0.86667,0.88205,0.51411,1.58142,0.94224,1.46475,0.0010298,0.0010298,0.0010298
51,3251.11,1.04179,0.8752,1.19127,0.89855,0.8,0.88048,0.50127,1.58484,1.02018,1.46232,0.00101,0.00101,0.00101
52,3307.94,1.04801,0.88781,1.17994,0.9733,0.86667,0.97625,0.56028,1.66152,0.86227,1.43472,0.0009902,0.0009902,0.0009902
53,3364.73,0.98581,0.87546,1.15322,0.88027,1,0.9825,0.58744,1.47526,0.76657,1.32548,0.0009704,0.0009704,0.0009704
54,3420.68,1.02132,0.91409,1.16851,0.81051,0.85603,0.92109,0.5036,1.57201,1.02491,1.34831,0.0009506,0.0009506,0.0009506
55,3476.41,1.02595,0.89337,1.19654,0.85793,0.86667,0.9106,0.52245,1.476,0.86014,1.35578,0.0009308,0.0009308,0.0009308
56,3531.87,1.05784,0.86371,1.18296,0.85815,0.86667,0.90717,0.52798,1.50375,0.80882,1.40725,0.000911,0.000911,0.000911
57,3587.61,1.04581,0.89331,1.23533,0.90965,0.8,0.91967,0.52167,1.54772,0.91667,1.47821,0.0008912,0.0008912,0.0008912
58,3643.65,0.98167,0.89506,1.18822,0.94174,0.73333,0.87211,0.46052,1.64153,1.0961,1.52972,0.0008714,0.0008714,0.0008714
59,3699.9,0.95243,0.85461,1.12767,0.99329,0.73333,0.86861,0.50985,1.56516,1.0147,1.37859,0.0008516,0.0008516,0.0008516
60,3756.03,1.00905,0.84318,1.17349,0.75263,0.81191,0.81123,0.46404,1.63279,1.01989,1.39129,0.0008318,0.0008318,0.0008318
61,3811.91,0.96827,0.81755,1.17145,0.77334,0.91072,0.87042,0.50738,1.49275,0.86494,1.32215,0.000812,0.000812,0.000812
62,3867.1,1.03524,0.83819,1.24562,0.67208,0.82058,0.80616,0.49861,1.51233,0.97568,1.32395,0.0007922,0.0007922,0.0007922
63,3922.4,0.95126,0.74099,1.16674,0.79056,0.8,0.87722,0.54029,1.41355,0.99997,1.24906,0.0007724,0.0007724,0.0007724
64,3978.25,0.89368,0.76962,1.11494,0.99129,0.86667,0.97533,0.5456,1.43238,0.71854,1.33834,0.0007526,0.0007526,0.0007526
65,4034.14,0.96649,0.80937,1.14613,1,0.79304,0.89312,0.56801,1.37128,0.9514,1.29304,0.0007328,0.0007328,0.0007328
66,4090.56,0.92717,0.74557,1.13085,0.85447,0.78381,0.79184,0.49508,1.48977,1.25553,1.32214,0.000713,0.000713,0.000713
67,4147.15,0.89885,0.73709,1.12054,0.96465,0.8,0.86425,0.52089,1.44758,1.094,1.28664,0.0006932,0.0006932,0.0006932
68,4204.14,0.9093,0.75358,1.16582,1,0.78119,0.92889,0.55209,1.46517,1.03393,1.34451,0.0006734,0.0006734,0.0006734
